"stateDist","abroadPrcnt","recentArrivalPrcnt","totalPopBirthPlace","prcntForeignBorn","prcntExAliens","totalHouseholds","under10k","over10k","over15k","over25k","over35k","over50k","over75k","over100k","over150k","over200k","meanIncome","medianIncome","totalEmploymentPop","prcntUnemp","prcntNotEmploy","prcntBA","prcntHS","totalPopRaceFile","prcntAsian","prcntBlack","prcntBlackNotHisp","prcntHisp","prcntMulti","prcntWhite","prcntWhiteAll","prcntNotHisp","prcntOld","medianAge","gini","sponID","icpsr","state","district","lastName","firstName","middleName","age","gender","party","numberTerms","daysServed","fracServed","cd","statenm","dwnom1","dwnom2","comPower","chair","rank","comName","numCom","rankChair","black","hispanic","numSpon","numCosp","numPassH","numEnact","passPrcnt","congNum","partyControl","demSeats","repSeats","otherSeats","ses","sesNorm"
"11","AR.3",NA,29.5916374413016,571228,0.577002527887288,NA,175034,24.2107247734726,75.7892752265274,65.9551858496064,56.8032496543529,40.0510757909892,21.0764765702663,10.3825542466035,5.40352160151742,1.31060251151205,0.229669664179531,NA,NA,353289,2.43370158708593,30.8962350936485,6.63354153474181,41.9161245754418,571228,0.275196594004496,2.20122262914283,NA,0.593216463731485,NA,NA,81.7199086879495,NA,NA,NA,0.0438232080652243,405006,"11020","AR",3,"Hammerschmidt","John","Paul",50,"M","Republican",4,716,1,3," ARKANSA",0.174999997019768,0.195999994874001,NA,NA,NA,NA,NA,NA,0,0,40,126,1,1,2.5,93,"D",243,192,0,-1.36419435309185,5.68734969682295
"12","AR.4",NA,19.115542494361,516490,0.24782667621832,NA,162178,26.4752309191136,73.5247690808864,63.8674789428899,55.503829126022,41.1430650273157,22.6047922652888,11.3159614744293,5.60248615718532,1.16785260639544,0.186215146320709,NA,NA,339598,2.80832042591535,31.8223311091349,5.91924095154533,38.0367445694079,516490,0.111715618889039,29.1843017289783,NA,1.43440238083362,NA,NA,63.84034540843,NA,NA,NA,0.0524679634659266,410821,"14058","AR",4,"Thornton","Raymond","Hoyt",44,"M","Democrat",1,716,1,4," ARKANSA",-0.243000000715256,0.791000008583069,NA,NA,NA,NA,NA,NA,0,0,8,67,0,0,0,93,"D",243,192,0,-1.3554905707951,5.86363539020246
"13","AZ.1",NA,30.4666889726794,4306093,0.395277110828772,NA,157744,16.8006390100416,83.1993609899584,76.0288822395781,69.283142306522,56.09531899787,37.9767217770565,23.3720458464347,13.1345724718531,2.42798458261487,0.324576529059742,NA,NA,310828,2.40004118033124,28.4929285649941,11.9406653586598,56.7754037213514,4306093,0.178444822255348,0.59397230854048,NA,13.9800130595202,NA,NA,9.48105393915087,NA,NA,NA,0.0741040904383503,409164,"7845","AZ",1,"Rhodes","John","Jacob",56,"M","Republican",11,716,1,1," ARIZONA",0.17399999499321,-0.108999997377396,NA,NA,NA,NA,NA,NA,0,0,43,133,1,1,2.32558139534884,93,"D",243,192,0,-0.57377542250718,21.6964299435182
"14","AZ.2",NA,34.9716838821845,7099797,0.416758394641424,NA,155160,17.7668213457077,82.2331786542923,74.9213714874968,68.0007733952049,55.7856406290281,36.8297241557102,22.0121165248775,12.9962619231761,2.87058520237175,0.435034802784223,NA,NA,312896,1.98883974227858,33.2263755369196,14.5568189721121,60.9717296056749,7099797,0.168145652615138,0.175328956588477,NA,22.0560258351632,NA,NA,5.88946416355285,NA,NA,NA,0.0797492427901796,411025,"10566","AZ",2,"Udall","Morris","King",50,"M","Democrat",7,716,1,2," ARIZONA",-0.372000008821487,0.0590000003576279,NA,NA,NA,NA,NA,NA,0,0,60,143,6,3,5,93,"D",243,192,0,-0.517301212286318,22.8402539693746
"15","AZ.3",NA,39.0411306960814,5186618,0.334476146112939,NA,143238,14.7460869322387,85.2539130677613,78.3046398302126,71.9788045071838,59.5477457099373,39.9314427735657,23.4532735726553,12.3807928063782,1.94152389728983,0.217819293762828,NA,NA,295181,2.30976926021661,31.4075092909096,9.69160055352606,54.7229922444058,5186618,0.383409767212469,0.187116151603993,NA,14.641212452138,NA,NA,7.9543162808597,NA,NA,NA,0.0762578898381827,410310,"11050","AZ",3,"Steiger","Sam"," ",43,"M","Republican",4,716,1,3," ARIZONA",0.460999995470047,0.209000006318092,NA,NA,NA,NA,NA,NA,0,0,28,107,1,1,3.57142857142857,93,"D",243,192,0,-0.669013176367793,19.7674922813828
"16","AZ.4",NA,30.8565007792961,3276357,0.385458605396176,NA,138486,13.5306095923054,86.4693904076946,80.8096125240097,75.4393945958436,64.8231590196843,46.9065465101165,30.4189593171873,19.1347861877735,5.30883988273183,1.15390725416288,NA,NA,303479,2.13029567119965,31.8651372912129,14.0108157023463,59.8083106012156,3276357,1.92082242563921,0.153218956298108,NA,9.08234233218734,NA,NA,11.4408167363935,NA,NA,NA,0.111141934851089,402808,"14011","AZ",4,"Conlan","John","Bertrand",42,"M","Republican",1,716,1,4," ARIZONA",0.474000006914139,-0.0670000016689301,NA,NA,NA,NA,NA,NA,0,0,5,88,0,0,0,93,"D",243,192,0,-0.180478112973467,29.6622414208283
"17","CA.1",NA,31.8719393334284,1962646,1.17846009927414,NA,168080,17.2310804378867,82.7689195621133,74.5472394098048,68.2561875297477,57.3524512137078,40.6895525940029,24.7269157544027,13.9564493098525,2.72667777248929,0.305211803902903,NA,NA,336528,3.95955165692008,30.5401036466505,10.4248566515933,60.1453556631142,1962646,0.520165124021347,0.167681792844965,NA,3.16822713462188,NA,NA,23.1011094206495,NA,NA,NA,0.0910903500729381,402613,"10579","CA",1,"Clausen","Donald","Holst",49,"M","Republican",6,716,1,1," CALIFOR",0.128000006079674,-0.0160000007599592,NA,NA,NA,NA,NA,NA,0,0,37,114,0,0,0,93,"D",243,192,0,-0.582166613525422,21.5264754482772
"18","CA.10",NA,30.9321910611816,3368796,0.798356445448166,NA,140196,6.36038118063283,93.6396188193672,90.6694912836315,87.8070701018574,82.1057662130161,70.50914434078,54.1534708550886,37.5616993352164,8.74133356158521,1.00288167993381,NA,NA,309325,2.65772246019559,30.3299119049543,23.3263046916183,77.0318213386216,3368796,0.35184677255613,0.0639397577057204,NA,5.98274043945165,NA,NA,13.3421257921228,NA,NA,NA,0.222639407920347,404857,"3867","CA",10,"Gubser","Charles","Samuel",56,"M","Republican",11,716,1,10," CALIFOR",0.178000003099442,-0.13400000333786,NA,NA,NA,NA,NA,NA,0,0,42,68,1,1,2.38095238095238,93,"D",243,192,0,1.24702582746828,58.5747892492328
"19","CA.11",NA,29.2905877713917,3393296,1.46748176404298,NA,163233,7.53034006604057,92.4696599339594,88.559911292447,84.7910655320922,76.9427750516133,61.2143377870896,43.5536931870394,27.5802074335459,5.35553472643399,0.537268812066188,NA,NA,334756,2.61055813786758,26.1925103657589,13.5214378335533,69.0443301230131,3393296,0.480270509852368,0.732296858275847,NA,8.12083803550969,NA,NA,12.3741341751501,NA,NA,NA,0.154894703635508,409514,"14049","CA",11,"Ryan","Leo","Joseph",47,"M","Democrat",1,716,1,11," CALIFOR",-0.305000007152557,-0.0920000001788139,NA,NA,NA,NA,NA,NA,0,0,4,90,0,0,0,93,"D",243,192,0,0.36173393960702,40.6441599005206
"20","CA.12",NA,36.91732982195,4634003,0.880491445516975,NA,188589,20.8729035097487,79.1270964902513,69.4563309630996,61.8095435046583,49.7860426642063,34.4314885809883,21.3294518768327,12.5489821781758,2.82572154261383,0.273080614457895,NA,NA,349340,3.46768191446728,26.5580809526536,13.6150770057744,61.702760154093,4634003,0.357013148243538,0.322831038305327,NA,13.2920487710929,NA,NA,9.45314450594874,NA,NA,NA,0.079549847452772,410612,"10631","CA",12,"Talcott","Burt","Lacklen",52,"M","Republican",6,716,1,12," CALIFOR",0.18299999833107,-0.207000002264977,NA,NA,NA,NA,NA,NA,0,0,86,141,1,0,0,93,"D",243,192,0,-0.587936819534764,21.4096061686217
